country,country name,residence type,service type,year,value,population,service level
TGO,Togo,total,Drinking water,2015,5.93,433193,Limited service
TGO,Togo,total,Drinking water,2015,13.59,992748,Surface water
TGO,Togo,total,Drinking water,2015,17.66,1290073,Unimproved
THA,Thailand,total,Drinking water,2015,98.23,66757257,At least basic
THA,Thailand,total,Drinking water,2015,0.72,490514,Limited service
THA,Thailand,total,Drinking water,2015,0.47,316602,Surface water
THA,Thailand,total,Drinking water,2015,0.58,394987,Unimproved
TJK,Tajikistan,total,Drinking water,2015,26.74,2267724,Basic service
TJK,Tajikistan,total,Drinking water,2015,4.37,370563,Limited service
TJK,Tajikistan,total,Drinking water,2015,47.4,4020700,Safely managed service
TJK,Tajikistan,total,Drinking water,2015,18.26,1548486,Surface water
TJK,Tajikistan,total,Drinking water,2015,3.23,274381,Unimproved
TKL,Tokelau,total,Drinking water,2015,99.53,1244,At least basic
TKL,Tokelau,total,Drinking water,2015,0,0,Surface water
TKL,Tokelau,total,Drinking water,2015,0.47,6,Unimproved
TKM,Turkmenistan,total,Drinking water,2015,8.31,446382,Basic service
TKM,Turkmenistan,total,Drinking water,2015,5.15,276520,Limited service
TKM,Turkmenistan,total,Drinking water,2015,86.15,4629136,Safely managed service
TKM,Turkmenistan,total,Drinking water,2015,0.32,17122,Surface water
TKM,Turkmenistan,total,Drinking water,2015,0.08,4341,Unimproved
TLS,Timor-Leste,total,Drinking water,2015,70.22,831981,At least basic
TLS,Timor-Leste,total,Drinking water,2015,5.87,69574,Limited service
TLS,Timor-Leste,total,Drinking water,2015,5.58,66135,Surface water
TLS,Timor-Leste,total,Drinking water,2015,18.32,217075,Unimproved
TON,Tonga,total,Drinking water,2015,99.91,106070,At least basic
TON,Tonga,total,Drinking water,2015,0,0,Surface water
TON,Tonga,total,Drinking water,2015,0.09,100,Unimproved
TTO,Trinidad and Tobago,total,Drinking water,2015,96.94,1318477,At least basic
TTO,Trinidad and Tobago,total,Drinking water,2015,1.27,17338,Limited service
TTO,Trinidad and Tobago,total,Drinking water,2015,0.23,3163,Surface water
TTO,Trinidad and Tobago,total,Drinking water,2015,1.55,21110,Unimproved
TUN,Tunisia,total,Drinking water,2015,1.49,167926,Basic service
TUN,Tunisia,total,Drinking water,2015,4.32,486423,Limited service
TUN,Tunisia,total,Drinking water,2015,92.74,10436322,Safely managed service
TUN,Tunisia,total,Drinking water,2015,0,0,Surface water
TUN,Tunisia,total,Drinking water,2015,1.45,162882,Unimproved
TUR,Turkey,total,Drinking water,2015,98.9,77799999,At least basic
TUR,Turkey,total,Drinking water,2015,0.22,175528,Surface water
TUR,Turkey,total,Drinking water,2015,0.88,690305,Unimproved
TUV,Tuvalu,total,Drinking water,2015,99.26,9842,At least basic
TUV,Tuvalu,total,Drinking water,2015,0,0,Surface water
TUV,Tuvalu,total,Drinking water,2015,0.74,74,Unimproved
TZA,United Republic of Tanzania,total,Drinking water,2015,50.15,26812892,At least basic
TZA,United Republic of Tanzania,total,Drinking water,2015,12.83,6857886,Limited service
TZA,United Republic of Tanzania,total,Drinking water,2015,13.29,7103774,Surface water
TZA,United Republic of Tanzania,total,Drinking water,2015,23.74,12695868,Unimproved
UGA,Uganda,total,Drinking water,2015,32.48,12678681,Basic service
UGA,Uganda,total,Drinking water,2015,37.95,14811660,Limited service
UGA,Uganda,total,Drinking water,2015,6.44,2513295,Safely managed service
UGA,Uganda,total,Drinking water,2015,8.2,3201666,Surface water
UGA,Uganda,total,Drinking water,2015,14.93,5827082,Unimproved
UKR,Ukraine,total,Drinking water,2015,5.57,2496325,Basic service
UKR,Ukraine,total,Drinking water,2015,1.92,861262,Limited service
UKR,Ukraine,total,Drinking water,2015,92.16,41310738,Safely managed service
UKR,Ukraine,total,Drinking water,2015,0.23,104354,Surface water
UKR,Ukraine,total,Drinking water,2015,0.11,51086,Unimproved
URY,Uruguay,total,Drinking water,2015,99.25,3405788,At least basic
URY,Uruguay,total,Drinking water,2015,0.58,19804,Limited service
URY,Uruguay,total,Drinking water,2015,0.03,1012,Surface water
URY,Uruguay,total,Drinking water,2015,0.14,4951,Unimproved
USA,United States of America,total,Drinking water,2015,0.18,571851,Basic service
USA,United States of America,total,Drinking water,2015,99.02,318628990,Safely managed service
USA,United States of America,total,Drinking water,2015,0,0,Surface water
USA,United States of America,total,Drinking water,2015,0.8,2572791,Unimproved
VCT,Saint Vincent and the Grenadines,total,Drinking water,2015,95.15,104148,At least basic
VCT,Saint Vincent and the Grenadines,total,Drinking water,2015,0.78,859,Surface water
VCT,Saint Vincent and the Grenadines,total,Drinking water,2015,4.07,4455,Unimproved
VEN,Venezuela (Bolivarian Republic of),total,Drinking water,2015,97.42,30304630,At least basic
VEN,Venezuela (Bolivarian Republic of),total,Drinking water,2015,1.03,320905,Surface water
VEN,Venezuela (Bolivarian Republic of),total,Drinking water,2015,1.55,482547,Unimproved
VGB,British Virgin Islands,total,Drinking water,2015,99.86,30076,At least basic
VGB,British Virgin Islands,total,Drinking water,2015,0,0,Surface water
VGB,British Virgin Islands,total,Drinking water,2015,0.14,41,Unimproved
VIR,United States Virgin Islands,total,Drinking water,2015,100,106287,At least basic
VIR,United States Virgin Islands,total,Drinking water,2015,0,0,Surface water
VIR,United States Virgin Islands,total,Drinking water,2015,0,4,Unimproved
VNM,Viet Nam,total,Drinking water,2015,91.19,85216517,At least basic
VNM,Viet Nam,total,Drinking water,2015,3.05,2850362,Limited service
VNM,Viet Nam,total,Drinking water,2015,0.46,427746,Surface water
VNM,Viet Nam,total,Drinking water,2015,5.3,4952976,Unimproved
VUT,Vanuatu,total,Drinking water,2015,90.5,239521,At least basic
VUT,Vanuatu,total,Drinking water,2015,1.05,2771,Limited service
VUT,Vanuatu,total,Drinking water,2015,6.21,16429,Surface water
VUT,Vanuatu,total,Drinking water,2015,2.24,5930,Unimproved
WLF,Wallis and Futuna Islands,total,Drinking water,2015,99.56,13093,At least basic
WLF,Wallis and Futuna Islands,total,Drinking water,2015,0,0,Surface water
WLF,Wallis and Futuna Islands,total,Drinking water,2015,0.44,58,Unimproved
WSM,Samoa,total,Drinking water,2015,95.51,184560,At least basic
WSM,Samoa,total,Drinking water,2015,1.95,3761,Limited service
WSM,Samoa,total,Drinking water,2015,0.3,571,Surface water
WSM,Samoa,total,Drinking water,2015,2.24,4335,Unimproved
YEM,Yemen,total,Drinking water,2015,70.36,18878841,At least basic
YEM,Yemen,total,Drinking water,2015,21.3,5715333,Limited service
YEM,Yemen,total,Drinking water,2015,4.53,1215603,Surface water
YEM,Yemen,total,Drinking water,2015,3.81,1022437,Unimproved
ZAF,South Africa,total,Drinking water,2015,84.7,46151886,At least basic
ZAF,South Africa,total,Drinking water,2015,10.27,5598724,Limited service
ZAF,South Africa,total,Drinking water,2015,3.15,1714217,Surface water
ZAF,South Africa,total,Drinking water,2015,1.88,1025581,Unimproved
ZMB,Zambia,total,Drinking water,2015,61.23,9925704,At least basic
ZMB,Zambia,total,Drinking water,2015,5.89,955545,Limited service
ZMB,Zambia,total,Drinking water,2015,11.69,1895013,Surface water
ZMB,Zambia,total,Drinking water,2015,21.19,3435504,Unimproved
ZWE,Zimbabwe,total,Drinking water,2015,66.56,10385675,At least basic
ZWE,Zimbabwe,total,Drinking water,2015,9.57,1492919,Limited service
ZWE,Zimbabwe,total,Drinking water,2015,7.33,1143956,Surface water
ZWE,Zimbabwe,total,Drinking water,2015,16.54,2580201,Unimproved
