Domain,Area Code,Area,Element,Item Code,Item,Year Code,Unit,Value,Flag Description
Fertilizers,255,Belgium,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,27,Calculated data
Fertilizers,255,Belgium,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,26.41,Calculated data
Fertilizers,23,Belize,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,160.12,Calculated data
Fertilizers,23,Belize,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,102.7,Calculated data
Fertilizers,23,Belize,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,43.25,Calculated data
Fertilizers,53,Benin,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,3.2,Calculated data
Fertilizers,53,Benin,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,3.14,Calculated data
Fertilizers,53,Benin,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,3.19,Calculated data
Fertilizers,18,Bhutan,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,8.76,Calculated data
Fertilizers,18,Bhutan,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.82,Calculated data
Fertilizers,18,Bhutan,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,1.91,Calculated data
Fertilizers,19,Bolivia (Plurinational State of),Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,4.92,Calculated data
Fertilizers,19,Bolivia (Plurinational State of),Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.83,Calculated data
Fertilizers,19,Bolivia (Plurinational State of),Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,0.86,Calculated data
Fertilizers,80,Bosnia and Herzegovina,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,98.89,Calculated data
Fertilizers,80,Bosnia and Herzegovina,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,8.33,Calculated data
Fertilizers,80,Bosnia and Herzegovina,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,8.96,Calculated data
Fertilizers,20,Botswana,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,52.87,Calculated data
Fertilizers,20,Botswana,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,2.99,Calculated data
Fertilizers,20,Botswana,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,2.44,Calculated data
Fertilizers,21,Brazil,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,44.23,Calculated data
Fertilizers,21,Brazil,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,52.65,Calculated data
Fertilizers,21,Brazil,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,61.14,Calculated data
Fertilizers,26,Brunei Darussalam,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,22.09,Calculated data
Fertilizers,26,Brunei Darussalam,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,kg/ha,21.09,Calculated data
Fertilizers,26,Brunei Darussalam,Average use per area of cropland,3104,Nutrient potash K2O (total),2015,kg/ha,21.27,Calculated data
Fertilizers,27,Bulgaria,Average use per area of cropland,3102,Nutrient nitrogen N (total),2015,kg/ha,83.26,Calculated data
